	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
187	1.0	0.505033626984	0.0541666666667	19.5	0.2	0.2	9.9	2175.175	225.375	97.1
188	1.0	0.528345235579	0.0375	40.05	0.4	0.2	9.95	2184.075	221.2	96.45
189	1.0	0.524333897892	0.15	59.8	0.6	0.2	9.95	2198.9	225.775	96.75
190	1.0	0.522298838947	0.1125	80.15	0.8	0.2	9.9	2185.6	224.925	96.65
191	1.0	0.51555969749	0.0375	99.9	1.0	0.2	9.95	2172.35	223.625	96.95
192	1.0	0.61105672025	0.0380952380952	3.8	0.0	0.4	9.9	2189.65	225.425	93.75
193	1.0	0.605911813298	0.1265625	21.7	0.2	0.4	9.8	2179.525	219.175	94.25
194	1.0	0.594062338054	0.075	41.95	0.4	0.4	9.95	2182.0	219.025	94.55
195	1.0	0.586705683822	0.0	61.7	0.6	0.4	10.0	2163.3	229.875	94.9
196	1.0	0.593605329126	0.025	82.65	0.8	0.4	9.95	2185.4	224.3	94.2
197	1.0	0.598142608227	0.18	100.9	1.0	0.4	9.9	2176.325	218.375	94.6
198	1.0	0.794329675882	0.122857142857	2.6	0.0	0.6	9.75	2371.9	239.775	88.9
199	1.0	0.81032768243	0.257777777778	25.9	0.2	0.6	9.75	2354.95	224.325	87.7
200	1.0	0.821625747171	0.511607142857	47.1	0.4	0.6	9.65	2337.175	238.95	87.4
201	1.0	0.754831100035	0.18	66.8	0.6	0.6	9.9	2276.475	226.175	89.6
202	1.0	0.797293341927	0.29125	88.55	0.8	0.6	9.65	2378.925	242.0	88.1
203	1.0	0.780835710726	0.2875	101.0	1.0	0.6	9.7	2330.7	229.025	88.9
204	1.0	1.15042444547	0.938535714286	3.9	0.0	0.8	8.55	2379.1	272.25	75.8
205	1.0	1.11092238236	0.994285714286	32.45	0.2	0.8	8.75	2405.05	277.7	77.35
